date,price
2000-01-01,64.56
2000-01-02,68.87
2000-01-03,67.0
2000-01-04,55.19
2000-01-05,48.31
2000-01-06,36.31
2000-01-07,30.12
2000-01-08,41.5
2000-01-09,38.44
2000-01-10,36.62
2000-01-11,24.69
2000-01-12,15.56
2000-01-13,17.31
2000-01-14,10.19
2000-01-15,10.23
2000-01-16,15.78
2000-01-17,16.69
2000-01-18,14.15
2000-01-19,12.49
2000-01-20,8.94
2000-01-21,5.97
2000-01-22,6.98
2000-01-23,11.32
2000-01-24,10.82
2000-01-25,14.19
2000-01-26,14.1
2000-01-27,14.3
2000-01-28,16.69
2000-01-29,18.23
2000-01-30,16.25
2000-01-31,14.45
2000-02-01,14.94
2000-02-02,15.93
2000-02-03,19.36
2000-02-04,23.35
2000-02-05,18.89
2000-02-06,21.85
2000-02-07,22.01
2000-02-08,26.03
2000-02-09,28.69
2000-02-10,35.89
2000-02-11,36.32
2000-02-12,41.64
2000-02-13,46.32
2000-02-14,48.43
2000-02-15,54.43
2000-02-16,53.97
2000-02-17,52.62
2000-02-18,50.4
2000-02-19,43.01
2000-02-20,43.28
2000-02-21,43.6
2000-02-22,48.5
2000-02-23,54.4
2000-02-24,38.92
2000-02-25,38.14
2000-02-26,40.86
2000-02-27,34.13
2000-02-28,39.68
2000-02-29,44.29
2000-03-01,43.22
2000-03-02,35.18
2000-03-03,34.27
2000-03-04,32.36
2000-03-05,35.51
2000-03-06,33.09
2000-03-07,45.15
2000-03-08,42.7
2000-03-09,45.3
2000-03-10,39.86
2000-03-11,48.46
2000-03-12,47.15
2000-03-13,44.82
2000-03-14,37.44
2000-03-15,36.53
2000-03-16,35.21
2000-03-17,34.61
2000-03-18,38.68
2000-03-19,26.89
2000-03-20,30.83
2000-03-21,32.12
2000-03-22,38.09
2000-03-23,40.34
2000-03-24,39.46
2000-03-25,37.67
2000-03-26,39.14
2000-03-27,39.79
2000-03-28,61.33
2000-03-29,69.14
2000-03-30,68.41
2000-03-31,78.54
2000-04-01,79.91
2000-04-02,93.15
2000-04-03,89.15
2000-04-04,90.56
2000-04-05,92.64
2000-04-06,77.7
2000-04-07,64.47
2000-04-08,71.3
2000-04-09,78.63
2000-04-10,81.62
2000-04-11,73.33
2000-04-12,76.34
2000-04-13,80.81
2000-04-14,72.76
2000-04-15,57.24
2000-04-16,42.7
2000-04-17,51.28
2000-04-18,58.82
2000-04-19,64.79
2000-04-20,73.44
2000-04-21,80.52
2000-04-22,77.99
2000-04-23,83.66
2000-04-24,85.76
2000-04-25,81.19
2000-04-26,93.36
2000-04-27,118.81
2000-04-28,135.91
2000-04-29,134.52
2000-04-30,125.41
2000-05-01,118.4
2000-05-02,128.82
